Variable:,tasmax
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Netherlands,14.40,5.93,6.74,10.36,14.38,18.24,20.71,22.96,23.08,19.20,14.55,9.77,6.85
Flevoland,14.27,5.89,6.68,10.25,14.15,18.10,20.44,22.73,22.89,19.01,14.40,9.77,6.90
Drenthe,14.09,5.46,6.23,9.90,14.15,18.06,20.47,22.74,23.01,19.05,14.24,9.38,6.33
Zuid-holland,14.44,6.37,7.04,10.50,14.25,17.94,20.47,22.71,22.74,19.17,14.62,10.14,7.32
Zeeland,14.68,6.58,7.33,10.61,14.43,17.92,20.78,22.93,23.02,19.62,15.05,10.44,7.36
Utrecht,14.46,6.08,6.91,10.49,14.38,18.28,20.76,22.94,22.93,19.17,14.66,9.87,7.00
Overijssel,14.36,5.73,6.61,10.32,14.43,18.39,20.70,23.03,23.28,19.11,14.41,9.59,6.69
Noord-holland,13.88,6.04,6.58,9.74,13.58,17.01,19.73,21.85,21.96,18.75,14.45,10.00,6.94
Noord-brabant,14.88,6.34,7.23,10.97,14.91,18.83,21.31,23.60,23.57,19.56,14.90,10.06,7.25
Limburg,15.05,6.07,7.14,11.05,15.31,19.25,22.00,24.07,23.97,19.86,15.23,9.94,6.71
Groningen,13.80,5.20,5.93,9.50,13.86,17.66,20.19,22.35,22.64,18.99,14.09,9.16,6.08
Gelderland,14.63,5.94,6.88,10.68,14.70,18.70,21.11,23.41,23.54,19.31,14.63,9.70,6.93
Friesland,13.80,5.73,6.30,9.61,13.56,17.33,19.64,21.99,22.26,18.67,14.11,9.69,6.77
