Year;type;number
2001;battery_electric;13
2002;battery_electric;14
2003;battery_electric;0
2004;battery_electric;0
2005;battery_electric;2
2006;battery_electric;1
2007;battery_electric;2
2008;battery_electric;0
2009;battery_electric;22
2010;battery_electric;121
2011;battery_electric;877
2012;battery_electric;3829
2013;battery_electric;22631
2014;battery_electric;3380
2015;battery_electric;3532
2016;battery_electric;3781
2017;battery_electric;7539
2018;battery_electric;23843
2019;battery_electric;62056
2001;plugin_hybrid;0
2002;plugin_hybrid;0
2003;plugin_hybrid;0
2004;plugin_hybrid;0
2005;plugin_hybrid;0
2006;plugin_hybrid;0
2007;plugin_hybrid;0
2008;plugin_hybrid;0
2009;plugin_hybrid;0
2010;plugin_hybrid;0
2011;plugin_hybrid;0
2012;plugin_hybrid;0
2013;plugin_hybrid;0
2014;plugin_hybrid;11856
2015;plugin_hybrid;40329
2016;plugin_hybrid;18947
2017;plugin_hybrid;1636
2018;plugin_hybrid;3286
2019;plugin_hybrid;5315
2001;full_mild_hybrid;383
2002;full_mild_hybrid;63
2003;full_mild_hybrid;19
2004;full_mild_hybrid;1178
2005;full_mild_hybrid;2936
2006;full_mild_hybrid;3155
2007;full_mild_hybrid;3709
2008;full_mild_hybrid;11879
2009;full_mild_hybrid;16390
2010;full_mild_hybrid;16101
2011;full_mild_hybrid;14887
2012;full_mild_hybrid;22517
2013;full_mild_hybrid;23682
2014;full_mild_hybrid;14499
2015;full_mild_hybrid;15034
2016;full_mild_hybrid;11012
2017;full_mild_hybrid;17677
2018;full_mild_hybrid;21239
2019;full_mild_hybrid;27707
2001;petrol;408614
2002;petrol;400517
2003;petrol;378208
2004;petrol;363399
2005;petrol;337735
2006;petrol;350625
2007;petrol;357762
2008;petrol;361661
2009;petrol;292616
2010;petrol;368167
2011;petrol;383148
2012;petrol;332934
2013;petrol;267106
2014;petrol;252976
2015;petrol;261104
2016;petrol;277675
2017;petrol;317262
2018;petrol;338086
2019;petrol;317265
2001;diesel_gas;121276
2002;diesel_gas;110149
2003;diesel_gas;110748
2004;diesel_gas;119304
2005;diesel_gas;124521
2006;diesel_gas;130228
2007;diesel_gas;144065
2008;diesel_gas;126410
2009;diesel_gas;78249
2010;diesel_gas;98670
2011;diesel_gas;157004
2012;diesel_gas;143261
2013;diesel_gas;103605
2014;diesel_gas;105112
2015;diesel_gas;132389
2016;diesel_gas;73283
2017;diesel_gas;73951
2018;diesel_gas;57076
2019;diesel_gas;33771
